image_urls,images,name
https://stat2.bollywoodhungama.in/wp-content/uploads/2016/03/shahid_kapoor-322x215.jpg,"[{'url': 'https://stat2.bollywoodhungama.in/wp-content/uploads/2016/03/shahid_kapoor-322x215.jpg', 'path': 'full/1de4bfa0cc2e5df77b7a8b7735b4db891967642c.jpg', 'checksum': 'b75fffc2530552cefa4903c889ea4a04'}]",Shahid Kapoor
https://stat2.bollywoodhungama.in/wp-content/uploads/2016/03/Sonakshi-Sinha-1280-322x215.jpg,"[{'url': 'https://stat2.bollywoodhungama.in/wp-content/uploads/2016/03/Sonakshi-Sinha-1280-322x215.jpg', 'path': 'full/ce2f123b2fcb1c472db8d2d14cff71e7cbd53dfe.jpg', 'checksum': '815bdc7d31350e40a8684d4b6a57b940'}]",Sonakshi Sinha
https://stat1.bollywoodhungama.in/wp-content/uploads/2016/03/ayushman-khurana-322x215.jpg,"[{'url': 'https://stat1.bollywoodhungama.in/wp-content/uploads/2016/03/ayushman-khurana-322x215.jpg', 'path': 'full/42f9145768ae854f654d23c10e40d69fe78eb55e.jpg', 'checksum': 'f7c7abd8f2bcd5e6a337568b315c7432'}]",Ayushmann Khurrana
https://stat2.bollywoodhungama.in/wp-content/uploads/2016/03/ritesh-deshmukh-322x215.jpg,"[{'url': 'https://stat2.bollywoodhungama.in/wp-content/uploads/2016/03/ritesh-deshmukh-322x215.jpg', 'path': 'full/e942e2b87501135d3a2b13888153436e6a27d805.jpg', 'checksum': '4a2198e7119b745607d790ae07b88379'}]",Riteish Deshmukh
https://stat2.bollywoodhungama.in/wp-content/uploads/2016/03/katrina-kaif_02-322x215.jpg,"[{'url': 'https://stat2.bollywoodhungama.in/wp-content/uploads/2016/03/katrina-kaif_02-322x215.jpg', 'path': 'full/aeba2593e309f1d5a67f5ddf74b0c8be6a787c33.jpg', 'checksum': '6f8b497f8ccfb5ca5883d87731b4c6a5'}]",Katrina Kaif
https://stat1.bollywoodhungama.in/wp-content/uploads/2016/03/tiger-shroff-8a-322x215.jpg,"[{'url': 'https://stat1.bollywoodhungama.in/wp-content/uploads/2016/03/tiger-shroff-8a-322x215.jpg', 'path': 'full/bbc88c335dba90f6eaa18ef8138344ac7d7a9485.jpg', 'checksum': '2e8a58181f2f96704e3d89fa9a08461c'}]",Tiger Shroff
https://media2.bollywoodhungama.in/wp-content/uploads/2016/03/Ranbir-kapoor-5-322x215.jpg,"[{'url': 'https://media2.bollywoodhungama.in/wp-content/uploads/2016/03/Ranbir-kapoor-5-322x215.jpg', 'path': 'full/acac8b9a397c2e2cd88ff9e7d6df14fca055c412.jpg', 'checksum': '07f1e78f346c1938f86cce1bbaa7a1a2'}]",Ranbir Kapoor
https://media2.bollywoodhungama.in/wp-content/uploads/2016/03/tamanna-bhatia-32a-322x215.jpg,"[{'url': 'https://media2.bollywoodhungama.in/wp-content/uploads/2016/03/tamanna-bhatia-32a-322x215.jpg', 'path': 'full/6fc9f0bb474a2db57926cc3aedfe0e930166f7c5.jpg', 'checksum': 'bbfaa55f715675cea144c48ce434df61'}]",Tamannaah Bhatia
https://stat1.bollywoodhungama.in/wp-content/uploads/2016/03/Latest-Photoshoot-Pics-of-Kajol-for-Cineblitz-Magazine-Cover-322x215.jpg,"[{'url': 'https://stat1.bollywoodhungama.in/wp-content/uploads/2016/03/Latest-Photoshoot-Pics-of-Kajol-for-Cineblitz-Magazine-Cover-322x215.jpg', 'path': 'full/6563861a56b119a66682ec3843c9dd5fa1f0f821.jpg', 'checksum': '80dba488680ed2c4fd4b5fbdc28cf4e1'}]",Kajol
https://media2.bollywoodhungama.in/wp-content/uploads/2016/03/KR1-322x215.jpg,"[{'url': 'https://media2.bollywoodhungama.in/wp-content/uploads/2016/03/KR1-322x215.jpg', 'path': 'full/429b378cf5dc9f1cf42b02e199525edb668dd297.jpg', 'checksum': '25b0918aac66742ad2cfda3a4d0bf378'}]",Kangana Ranaut
https://stat2.bollywoodhungama.in/wp-content/uploads/2016/03/Arjun-Kapoor-322x215.jpg,"[{'url': 'https://stat2.bollywoodhungama.in/wp-content/uploads/2016/03/Arjun-Kapoor-322x215.jpg', 'path': 'full/aa5c73d2fca0e926ae64d22575ec005374859eca.jpg', 'checksum': '68be537a60c61d0fe8b234e118425788'}]",Arjun Kapoor
https://stat1.bollywoodhungama.in/wp-content/uploads/2016/03/Shahrukh-Khan-67080-322x215.jpg,"[{'url': 'https://stat1.bollywoodhungama.in/wp-content/uploads/2016/03/Shahrukh-Khan-67080-322x215.jpg', 'path': 'full/9ddac43d6a0dd92a8f3ae04734dd68b1d2170c5d.jpg', 'checksum': '0f81a4be043f0d7a624f158484ef7c13'}]",Shah Rukh Khan
https://media2.bollywoodhungama.in/wp-content/uploads/2018/01/Taapsee-Pannu-pledges-to-spread-self-defence-on-National-Girl-Child-day-322x215.jpg,"[{'url': 'https://media2.bollywoodhungama.in/wp-content/uploads/2018/01/Taapsee-Pannu-pledges-to-spread-self-defence-on-National-Girl-Child-day-322x215.jpg', 'path': 'full/1f14d0819deae80160a2249477f0efc13f58bcca.jpg', 'checksum': '97696513f3db67a7066ce7f9ade2d8a2'}]",Taapsee Pannu
https://media2.bollywoodhungama.in/wp-content/uploads/2016/03/anuskhasss-322x215.jpg,"[{'url': 'https://media2.bollywoodhungama.in/wp-content/uploads/2016/03/anuskhasss-322x215.jpg', 'path': 'full/77d60173db658a8fca1be629eea0d25aee3c694f.jpg', 'checksum': '2edb141bdb75e7e897d73ed889463634'}]",Anushka Sharma
https://stat2.bollywoodhungama.in/wp-content/uploads/2016/03/387296-278190-tabu-322x215.jpg,"[{'url': 'https://stat2.bollywoodhungama.in/wp-content/uploads/2016/03/387296-278190-tabu-322x215.jpg', 'path': 'full/5813e564b735f98a9f37e22f7df77b5d79fa969a.jpg', 'checksum': '3e0f8f91ca5d71b7de32527c1b0d5716'}]",Tabu
https://stat2.bollywoodhungama.in/wp-content/uploads/2016/03/AjayDevhead-322x215.jpg,"[{'url': 'https://stat2.bollywoodhungama.in/wp-content/uploads/2016/03/AjayDevhead-322x215.jpg', 'path': 'full/6fc1fd3868a1e11b361bfc4ce32d5a651d975a27.jpg', 'checksum': '7f5d5988d686c091ecf3ccf5dd4c619d'}]",Ajay Devgn
https://stat2.bollywoodhungama.in/wp-content/uploads/2016/03/Bhumi-Pednekar-header-322x215.jpg,"[{'url': 'https://stat2.bollywoodhungama.in/wp-content/uploads/2016/03/Bhumi-Pednekar-header-322x215.jpg', 'path': 'full/9dab5ea05e8dd6e6c96280758aa0f96103fb1951.jpg', 'checksum': '338316ce6ed57539a7492f509ccb14c2'}]",Bhumi Pednekar
https://stat1.bollywoodhungama.in/wp-content/uploads/2016/02/File0351-322x215.jpg,"[{'url': 'https://stat1.bollywoodhungama.in/wp-content/uploads/2016/02/File0351-322x215.jpg', 'path': 'full/41fc9362456271bf88340948ee07ff2a2217bf82.jpg', 'checksum': '2284a12f17aaab9e6073be639d840445'}]",Emraan Hashmi
https://stat2.bollywoodhungama.in/wp-content/uploads/2016/02/bipasha-basu-1-322x215.jpg,"[{'url': 'https://stat2.bollywoodhungama.in/wp-content/uploads/2016/02/bipasha-basu-1-322x215.jpg', 'path': 'full/4e621092a0a9695db33802d65d15054ae5f856a8.jpg', 'checksum': 'c89dba63faccd6e286cf3154fe36ae3e'}]",Bipasha Basu
https://media2.bollywoodhungama.in/wp-content/uploads/2016/03/YAMI-GAUTAM-MAIN-322x215.jpg,"[{'url': 'https://media2.bollywoodhungama.in/wp-content/uploads/2016/03/YAMI-GAUTAM-MAIN-322x215.jpg', 'path': 'full/df7e5e6188a839852ab4352f62ef22cc9a8506a3.jpg', 'checksum': '2a18fcd91fa25e43d076c715ba6e1df0'}]",Yami Gautam
https://stat1.bollywoodhungama.in/wp-content/uploads/2016/03/Sunny-Deol-15949-322x215.jpg,"[{'url': 'https://stat1.bollywoodhungama.in/wp-content/uploads/2016/03/Sunny-Deol-15949-322x215.jpg', 'path': 'full/c79c262968ac18037eab67700645cccfd0707e48.jpg', 'checksum': '68a4d719e3ee04dc4ca7a42e0cc14156'}]",Sunny Deol
https://stat1.bollywoodhungama.in/wp-content/uploads/2016/03/Madhuri-Dixit-1-322x215.jpg,"[{'url': 'https://stat1.bollywoodhungama.in/wp-content/uploads/2016/03/Madhuri-Dixit-1-322x215.jpg', 'path': 'full/3fdb2188ee55745333e7fa03832b2f40acce1521.jpg', 'checksum': '3aff5ec80dc89b11453e5c4d59e1ec07'}]",Madhuri Dixit
https://media2.bollywoodhungama.in/wp-content/uploads/2016/03/Ileana-DCruz-322x215.jpg,"[{'url': 'https://media2.bollywoodhungama.in/wp-content/uploads/2016/03/Ileana-DCruz-322x215.jpg', 'path': 'full/54ff91daa00d5de373b76280fc175cf148a7d00d.jpg', 'checksum': 'bec77e2be224a45c5a85f7724d3da5c7'}]",Ileana D’Cruz
https://stat2.bollywoodhungama.in/wp-content/uploads/2016/03/arshad001-322x215.jpg,"[{'url': 'https://stat2.bollywoodhungama.in/wp-content/uploads/2016/03/arshad001-322x215.jpg', 'path': 'full/3330ea3454976ed5f581e7e03d72c5367bb077bd.jpg', 'checksum': 'd767dfd3d288c4f0abe16c5edcf3a7ca'}]",Arshad Warsi
https://stat1.bollywoodhungama.in/wp-content/uploads/2016/03/Prabhas_2-322x215.jpg,"[{'url': 'https://stat1.bollywoodhungama.in/wp-content/uploads/2016/03/Prabhas_2-322x215.jpg', 'path': 'full/713cbb2d4ea1a381be33b374d3ef23e2a15f9041.jpg', 'checksum': '67ef5856cd29d76ccac8e4f3dea21806'}]",Prabhas
https://stat2.bollywoodhungama.in/wp-content/uploads/2016/03/Vaani-Kapoor-hot-322x215.jpg,"[{'url': 'https://stat2.bollywoodhungama.in/wp-content/uploads/2016/03/Vaani-Kapoor-hot-322x215.jpg', 'path': 'full/c4bd4e41e30bf0e0a35c21aea6350d3e77d4c56f.jpg', 'checksum': '91f269abefb282668285ee569878fe1f'}]",Vaani Kapoor
https://media2.bollywoodhungama.in/wp-content/uploads/2016/03/Irrfan-Khan-06-322x215.jpg,"[{'url': 'https://media2.bollywoodhungama.in/wp-content/uploads/2016/03/Irrfan-Khan-06-322x215.jpg', 'path': 'full/c8e655790e9b9d8147e5277f8f7c44df57e13d88.jpg', 'checksum': '6ead4581d81671324dfd4454b53e7bbd'}]",Irrfan Khan
https://stat1.bollywoodhungama.in/wp-content/uploads/2016/02/Sonam-Kapoor-Hot-322x215.jpg,"[{'url': 'https://stat1.bollywoodhungama.in/wp-content/uploads/2016/02/Sonam-Kapoor-Hot-322x215.jpg', 'path': 'full/92ed5cddc1ad68f77e3f1cc933de0f31a7ec4b7d.jpg', 'checksum': '44d799da4dc825ec15245d4fcb5614bd'}]",Sonam Kapoor Ahuja
